Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,all
IDN,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,grey,royalblue
MYS,royalblue,grey,grey,grey,royalblue,grey,grey,royalblue,royalblue,grey,royalblue,royalblue,grey,royalblue
USA,grey,grey,grey,grey,royalblue,grey,grey,grey,royalblue,grey,grey,grey,grey,royalblue
IS1,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue
CH1,royalblue,grey,grey,grey,grey,grey,royalblue,royalblue,grey,grey,royalblue,grey,royalblue,royalblue
FR1,royalblue,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,royalblue,royalblue,royalblue
NOR,royalblue,grey,grey,grey,grey,grey,grey,royalblue,royalblue,grey,royalblue,grey,royalblue,royalblue
KHM,royalblue,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,royalblue,royalblue,royalblue,royalblue
ESP,grey,grey,grey,grey,grey,grey,royalblue,royalblue,royalblue,grey,grey,grey,grey,royalblue
GB1,grey,grey,grey,grey,grey,grey,royalblue,royalblue,grey,grey,royalblue,grey,royalblue,royalblue
CHE,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,grey,royalblue
THA,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
USA,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
TWN,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,royalblue
JPN,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue